Name,Definition,Synonym(s),Note(s)
Assertion,"A ""logical expression specifying a program state that must exist or a set of conditions that program variables must satisfy at a particular point during program execution"" (IEEE, 2017, p. 30)","Invariant, sometimes (IEEE, 2017, p. 257)","""Types include input assertion, loop assertion, output assertion"" (IEEE, 2017, p. 30)"
Branch,"""A transfer of control to an entry point of the test item"" or ""from any node to any other node in the control flow model"" (IEEE, 2021, p. 23) that may involve ""a set[] of program statements … [being] selected for execution"" (2017, p. 51)","Arc (implied by IEEE, 2021, p. 24; Kam, 2008, p. 42), Link, Edge (implied by IEEE, 2021, p. 24), Decision Point (implied by 2017, p. 51)",
Call Graph,"A ""diagram that identifies the modules in a system or computer program and shows which modules call one another"" (IEEE, 2017, p. 56)","Call Tree, Tier Chart (IEEE, 2017, p. 56)",
Cause-Effect Graph,"A ""logical network[] that map[s] a set of causes to a set of effects by systematically exploring the possible combinations of input conditions"" (Washizaki, 2024, p. 5-11; similar in Hamburg and Mogyorodi, 2024) and ""can optionally model syntactic and semantic constraints over [these] relationships"" (IEEE, 2021, p. 19)",,
CFG,,,
Classification Tree,"""A tree diagram representing test data domains of a test object"" (Hamburg and Mogyorodi, 2024) as ""a decomposition hierarchy"" (IEEE, 2017, p. 485; OG PMBOK) using ""distinct classifications (relevant test aspects) and classes (input values)"" (IEEE, 2022, p. 3; 2021, p. 2)",,
Commercial Off-the-Shelf,"""A type of product developed in an identical format for a large number of customers in the general market"" (Hamburg and Mogyorodi, 2024)","Off-the-Shelf Software (Hamburg and Mogyorodi, 2024)",
Common Gateway Interface,"An ""object[] that execute[s] on the server … initiated by [a] forms-based user interaction[] on the browser"" (Gerrard, 2000b, p. 13)","CGI (Gerrard, 2000a, p. 17; 2000b, p. 11)","""The most common mechanism used to implement functionality on web sites"" (Gerrard, 2000b, p. 11), including business logic, order or payment processing, and security checking (p. 13)"
(Software) Component,"A discrete entity, either structurally (IEEE, 2017, p. 419; OG ISO/IEC, 2015), functionally, or logically (IEEE, 2017, p. 419), ""within a system considered at a particular level of analysis"" (ISO/IEC, 2023b; IEEE, 2017, p. 419; OG ISO/IEC, 2015) ""that can be tested in isolation"" (Hamburg and Mogyorodi, 2024); ""the individual subprograms or components, a subsystem, or a composition of … components"" (Washizaki, 2024, p. 5-6) or even an entire system (IEEE, 2017, p. 419; OG ISO/IEC, 2016)","Module, Unit (Hamburg and Mogyorodi, 2024; often in IEEE, 2017, p. 82)","""The terms module, component, and unit [sic] are often used interchangeably or defined to be subelements of one another in different ways depending upon the context"" with no standardized relationship (IEEE, 2017, p. 82); for example, ""components differ from classical modules for being re-used in different contexts independently of their development"" (Baresi and Pezzè, 2006, p. 107). It seems like this could apply to the testing of both modules and specific functions"
Composite Keyword,"A ""keyword[] … constructed based on other keywords"" (IEEE, 2016, p. 3)",,
Computation Data Use,"A ""use of the value of a variable in any type of statement"" (IEEE, 2021, p. 2; 2017, p. 83; OG 2015), ""as an input to the computation of the definition of any variable or of an output"" (2021, p. 27; similar in van Vliet, 2000, p. 424), or not as a P-use; e.g., the use of a variable in a computation or I/O statement (van Vliet, 2000, p. 424)","C-use, c-use",
Condition,"A ""Boolean expression containing no Boolean operators"" (IEEE, 2021, p. 2)","Atomic Condition (Hamburg and Mogyorodi, 2024)",
Data Analysis,"The ""systematic investigation of the data and their flow in a real or planned system"" (IEEE, 2017, p. 114)",,
